q_num,q_type,prompt,question,choice_a,choice_b,choice_c,choice_d,choice_e,correct_a
11,LP,"A corporate manager is selecting employees for a research team. The team will include at least four employees, all from among the following eight: Myers, Ortega, Paine, Schmidt, Thomson, Wong, Yoder, and Zayre. The selection is constrained by the following conditions: If Myers is on the team, neither Ortega or Paine can be. If Schmidt is on the team, both Paine and Thomson must also be. If Wong is on the team, both Myers and Yoder must also be.","If Paine is not on the team, which of the following could be true?",Neither Myers nor Ortega is on the team.,Neither Myers nor Thomson is on the team.,Neither Myers nor Zayre is on the team.,Neither Ortega nor Thomson is on the team.,Neither Ortega nor Yoder is on the team.,choice_d
12,LP,"A corporate manager is selecting employees for a research team. The team will include at least four employees, all from among the following eight: Myers, Ortega, Paine, Schmidt, Thomson, Wong, Yoder, and Zayre. The selection is constrained by the following conditions: If Myers is on the team, neither Ortega or Paine can be. If Schmidt is on the team, both Paine and Thomson must also be. If Wong is on the team, both Myers and Yoder must also be.",Which one of the following is a pair of employees at least one of whom must be on the team?,Ortega and Schmidt,Ortega and Wong,Paine and Schmidt,Thomson and Yoder,Yoder and Zayre,choice_d
13,LP,"Exactly five movies are showing at the repertory theater this evening: a horror film, a mystery, a romance, a sci-fi film, and a western. Each movie is shown exactly once, on one of the theater's three screens: screens 1, 2, and 3. Screens 1 and 2 show two movies each, one beginning at 7 p.m. and the other at 9 p.m.; screen 3 shows exactly one movie, at 8 p.m. The following conditions apply to this evening's schedule: The western begins at some point before the horror film does. The sci-fi film is not shown on screen 3. The romance is not shown on screen 2. The horror film and the mystery are shown on different screens.",Which of the following is an acceptable schedule of the movies for this evening?,"screen 1: romance at 7 p.m., horror film at 9 p.m. screen 2: western at 7 p.m.,  sci-fi film at 9 p.m. screen 3: mystery at 8 p.m.","screen 1: mystery at 7 p.m., romance at 9 p.m. screen 2: horror film at 7 p.m., sci-fi film at 9 p.m. screen 3: western at 8 p.m.","screen 1: western at 7 p.m., sci-fi film at 9 p.m. screen 2: mystery at 7 p.m., horror film at 9 p.m. screen 3: romance at 8 p.m.","screen 1: romance at 7 p.m., mystery at 9 p.m. screen 2: western at 7 p.m. horror film at 9 p.m. screen 3: sci-fi film at 8 p.m.","screen 1: western at 7 p.m., myster at 9 p.m. screen 2: sci-fi film at 7 p.m., romance at 9 p.m. screen 3: horror film at 8 p.m.",choice_a
14,LP,"Exactly five movies are showing at the repertory theater this evening: a horror film, a mystery, a romance, a sci-fi film, and a western. Each movie is shown exactly once, on one of the theater's three screens: screens 1, 2, and 3. Screens 1 and 2 show two movies each, one beginning at 7 p.m. and the other at 9 p.m.; screen 3 shows exactly one movie, at 8 p.m. The following conditions apply to this evening's schedule: The western begins at some point before the horror film does. The sci-fi film is not shown on screen 3. The romance is not shown on screen 2. The horror film and the mystery are shown on different screens.","Which one of the following CANNOT be an accurate list of the movies scheduled to be shown on screen 2 this evening, listing the  7 p.m. movie first?","the sci-fi film, the horror film","the sci-fi film, the mystery","the sci-fi film, the western","the western, the horror film","the western, the mystery",choice_c
15,LP,"Exactly five movies are showing at the repertory theater this evening: a horror film, a mystery, a romance, a sci-fi film, and a western. Each movie is shown exactly once, on one of the theater's three screens: screens 1, 2, and 3. Screens 1 and 2 show two movies each, one beginning at 7 p.m. and the other at 9 p.m.; screen 3 shows exactly one movie, at 8 p.m. The following conditions apply to this evening's schedule: The western begins at some point before the horror film does. The sci-fi film is not shown on screen 3. The romance is not shown on screen 2. The horror film and the mystery are shown on different screens.","If the western and the sci-fi film are scheduled to be shown on th esame screen, then which of the following could be true of this evening's schedule?",The horror film is shown on screen 2.,The mystery begins at 9 p.m.,The romance is shown on screen 3.,The sci-fi film begins at 7 p.m.,The western begins at 8 p.m.,choice_b
16,LP,"Exactly five movies are showing at the repertory theater this evening: a horror film, a mystery, a romance, a sci-fi film, and a western. Each movie is shown exactly once, on one of the theater's three screens: screens 1, 2, and 3. Screens 1 and 2 show two movies each, one beginning at 7 p.m. and the other at 9 p.m.; screen 3 shows exactly one movie, at 8 p.m. The following conditions apply to this evening's schedule: The western begins at some point before the horror film does. The sci-fi film is not shown on screen 3. The romance is not shown on screen 2. The horror film and the mystery are shown on different screens.","If the romance is scheduled to begin before the western does, then which one of the following must be true of this evening's schedule?",The horror film is shown on screen 1.,The mystery begins at 7 p.m.,The mystery is shown on screen 2.,The sci-fi film begins at 9 p.m.,The sci-fi film is shown on screen 2.,choice_e
17,LP,"Exactly five movies are showing at the repertory theater this evening: a horror film, a mystery, a romance, a sci-fi film, and a western. Each movie is shown exactly once, on one of the theater's three screens: screens 1, 2, and 3. Screens 1 and 2 show two movies each, one beginning at 7 p.m. and the other at 9 p.m.; screen 3 shows exactly one movie, at 8 p.m. The following conditions apply to this evening's schedule: The western begins at some point before the horror film does. The sci-fi film is not shown on screen 3. The romance is not shown on screen 2. The horror film and the mystery are shown on different screens.","Which of the following CANNOT be an accurate list of the movies scheduled to be shown on screen 1 this evening, listing the 7 p.m. movie first?","the sci-fi film, the horror film","the sci-fi film, the mystery","the western, the horror film","the western, the mystery","the western, the sci-fi film",choice_e
18,LP,"Exactly five movies are showing at the repertory theater this evening: a horror film, a mystery, a romance, a sci-fi film, and a western. Each movie is shown exactly once, on one of the theater's three screens: screens 1, 2, and 3. Screens 1 and 2 show two movies each, one beginning at 7 p.m. and the other at 9 p.m.; screen 3 shows exactly one movie, at 8 p.m. The following conditions apply to this evening's schedule: The western begins at some point before the horror film does. The sci-fi film is not shown on screen 3. The romance is not shown on screen 2. The horror film and the mystery are shown on different screens.","If the sci-fi film and the romance are to be shown on the same screen, then which one of the following must be true of this evening's schedule?",The western begins at 7 p.m.,The sci-fi film begins at 9 p.m.,The mystery begins at 8 p.m.,The romance begins at 9 p.m.,The horror film begins at 8 p.m.,choice_a
19,LP,"A naturalist will give give lectures, each on a different type of bird: oystercatchers, petrels, rails, sandpipers, or terns. The lectures must be given either in Gladwyn Hall or Howard Auditorium, in an order that meets the following conditions: The first lecture is in Gladwyn Hall. The fourth lecture is in Howard Auditorium. Exactly three of the lectures are in Gladwyn hall. The lecture on sandpipers is in Howard Auditorium and is given earlier than the lecture on oystercatchers. The lecture on terns is given earlier than the lecture on petrels, which is in Gladwyn Hall.","Which one of the following is an acceptable order for the lectures, from first to fifth?","oystercatchers, petrels, rails, sandpipers, terns","petrels, sandpipers, oystercatchers, terns, rails","rails, sandpipers, terns, petrels, oystercatchers","sandpipers, terns, oystercatchers, rails, petrels","terns, petrels, sandpipers, oystercatchers, rails",choice_e
20,LP,"A naturalist will give give lectures, each on a different type of bird: oystercatchers, petrels, rails, sandpipers, or terns. The lectures must be given either in Gladwyn Hall or Howard Auditorium, in an order that meets the following conditions: The first lecture is in Gladwyn Hall. The fourth lecture is in Howard Auditorium. Exactly three of the lectures are in Gladwyn hall. The lecture on sandpipers is in Howard Auditorium and is given earlier than the lecture on oystercatchers. The lecture on terns is given earlier than the lecture on petrels, which is in Gladwyn Hall.",Which one of the following must be false?,The first and second lectures are both in Gladywn Hall.,The second and third lectures are both in Howard Auditorium.,The second and fifth lectures are both in Gladwyn Hall.,The third and fourth lectures are both in Howard Auditorium.,The third and fifth lectures are both in Gladwyn Hall.,choice_b
21,LP,"A naturalist will give give lectures, each on a different type of bird: oystercatchers, petrels, rails, sandpipers, or terns. The lectures must be given either in Gladwyn Hall or Howard Auditorium, in an order that meets the following conditions: The first lecture is in Gladwyn Hall. The fourth lecture is in Howard Auditorium. Exactly three of the lectures are in Gladwyn hall. The lecture on sandpipers is in Howard Auditorium and is given earlier than the lecture on oystercatchers. The lecture on terns is given earlier than the lecture on petrels, which is in Gladwyn Hall.","If the lecture on terns is given in Howard Auditorium, which one of the following could be true of the third lecture?",It is on oystercatchers and is in Gladwyn Hall.,It is on rails and is in Howard Auditorium.,,,,choice_a
22,LP,"A naturalist will give give lectures, each on a different type of bird: oystercatchers, petrels, rails, sandpipers, or terns. The lectures must be given either in Gladwyn Hall or Howard Auditorium, in an order that meets the following conditions: The first lecture is in Gladwyn Hall. The fourth lecture is in Howard Auditorium. Exactly three of the lectures are in Gladwyn hall. The lecture on sandpipers is in Howard Auditorium and is given earlier than the lecture on oystercatchers. The lecture on terns is given earlier than the lecture on petrels, which is in Gladwyn Hall.",Which one of the following could be true of the fifth lecture?,It is on oystercatchers and is in Gladwyn Hall.,It is on petrels and is in Howard Auditorium.,It is on rails and is in Howard Auditorium.,It is on sandpipers and is in Howard Auditorium.,It is on terns and is in Gladwyn Hall.,choice_a
23,LP,"A naturalist will give give lectures, each on a different type of bird: oystercatchers, petrels, rails, sandpipers, or terns. The lectures must be given either in Gladwyn Hall or Howard Auditorium, in an order that meets the following conditions: The first lecture is in Gladwyn Hall. The fourth lecture is in Howard Auditorium. Exactly three of the lectures are in Gladwyn hall. The lecture on sandpipers is in Howard Auditorium and is given earlier than the lecture on oystercatchers. The lecture on terns is given earlier than the lecture on petrels, which is in Gladwyn Hall.","If the third lecture is on sandpipers, which one of the following could be true?",The second lecture is on oystercatchers and is in Gladwyn Hall.,The fifth lecture is on oystercatchers and is in Howard Audituorium.,The second lecture is on rails and is in Howard Auditorium.,The second lecture is on terns and is in Gladwyn Hall.,The fourth lecture is on terns and is in Howard Auditorium.,choice_d
24,LR,"The quantity and type of pollution that entered the river last Thursday night suggests that the local auto repair shop is responsible. But the penalty for this type is so severe that, unless stronger evidence is discovered for the perpetrator admits responsibility, we cannot be sufficiently certain of the identity of the polluter to justify imposing the penalty.","Which one of the following principles, if valid, most helps to justify the reasoning in the argument?","The more severe the penalty for an infraction is, the more certain one must be of the guilt of a party before being justified in imposing the penalty on that party.","Penalties for crimes should be severe enough to deter people from committing them, but not so severe as to undermine one's willingness to impose them.",The severity of the penalty imposed for an infraction should be proportional to the harm caused by that infraction.,"The more severe the penalty for an offense is, the less likely that it is that someone will come forward and admit responsibility for the offense.",The severity of the penalty for an offense should not be so great that one can never be sufficiently certain of guilt to justify punishmeht for that offense.,choice_a
25,LR,"Depression is a serious problem for residents of nursing homes. However, a recent study has found that residents who developed personal bonds with pets had significantly lower rates of depression than did residents who did not develop personal bonds with pets.",Which of the following statements is most strongly supported by the information above?,Nursing-home residents are more subject to depression than any other individuals.,The best method for helping a nursing-home resident to overcome depression is to provide access to a pet.,High rates of depression among nursing-home residents may result at least in part from a lack of companionship.,Animal companionship is essential for psychological well-being.,Allowing free access to pets in nursing homes would eliminate problems relating to depression.,choice_c
26,LR,"Humorous television advertisements are the only effective ones. For if something is humorous it will not only attract people's attention, it will hold their attention long enough for a message to be conveyed. And, obviously, for an advertisement to be effective it must convey the its message.",Which of the following most accurately describes a flaw in the argument?,It takes for granted that nothing but humor can attract a person's attention and hold it long enough for a message to be conveyed.,It confuses attracting a person's attention with holding a person's attention long enough for a message to be conveyed.,It treats a necessary condition for an advertisement's being effective as if it were a sufficient condition.,"It uses two senses of the term ""effective"" without differentiating them.",It takes for granted that an advertisement's only purpose is to convey its message.,choice_a
27,LR,"Physician: Stories of people developing serious health provlems shortly after receiving vaccinations have give rise ot the question of whether vaccination is safe. But even if those stories are true, they need not be cause for concern. With millions of people being vaccinated every year, it is to be expected that some will develop health problems purely by coincidence shortly after receiving vaccinations.","Which of the following, if true, would most strengthen the physician's argument?","For the most part, stories of people developing serious health problems shortly after reciving vaccinations involve vaccines that were recently introduced.","Some of the illnesses that vaccines are designed to prevent have become so rare that even if people are not vaccinated, they are unlikely to contract those illnesses.","People are no more likely, on average, to develop serious health problems shortly after receiving vaccinations than shortly before receiving vaccinations.",The health problems that some people have developed shortly after receiving vaccinations have been more serious than the health problems that the vaccines were intended to prevent.,"In a few cases in which people developed health problems shortly after taking other medications, these problems were initially attributed to coincidence but were later determined to be due to the medications.",choice_c
28,LR,"Sharita: Anyone who owns a cat should have it spayed or neutered unless they are willing to take care of the cat’s offspring. It is because people fail to do this that there are so many stray cats around. Chad: Stray cats are not only a nuisance, they spread 
diseases and cause injuries to other cats and to humans. People feed these animals out of kindness, but doing so only exacerbates the problem unless the cats are then captured and adopted. ",Sharita’s and Chad’s statements provide the most support for the claim that they agree about which one of the following?,It is usually wrong to feed stray cats. ,There are more stray cats than there should be.,"Stray cats are a problem because of the risk they 
pose to humans.", Stray cats spread diseases to other cats.,It is mainly out of kindness that people feed stray.,choice_b
29,LR,"Detective: People who repeatedly commit crimes like embezzlement or bribery without being caught tend to become more confident. With each success, they believe that getting caught is less likely. However, the more crimes a person commits, the greater the chance that one of those crimes will be solved. It is therefore likely that most people who commit embezzlement or bribery will eventually be caught. ",Which one of the following is an assumption required by the detective’s argument?,"The majority of people who commit 
embezzlement or bribery do so repeatedly.","People who commit embezzlement or bribery 
tend to be people who feel confident.","Embezzlement and bribery are more likely to be 
solved than are many other types of crimes.","People who repeatedly commit embezzlement 
or bribery become more and more careless the longer they avoid detection.","No one who commits embezzlement or bribery is 
ever caught the first time.",choice_a
30,LR,"If grain prices double then the average price of a loaf of 
bread will rise between 10 and 15 percent, whereas the price of grain-fed beef will come close to doubling.","Which one of the following would, if true, most contribute to an explanation of the phenomenon described above","Farmers engaged in very large-scale cattle 
production generally try to reduce the labor costs involved in the production and sale of beef.","The wholesale price per pound of beef is 
approximately ten times the wholesale price per pound of bread.","The labor and marketing costs in producing and selling bread represent most of its cost, but the cost of feeding cattle represents most of the cost of producing beef.","Only an insignificantly small proportion of the 
beef sold in retail markets is produced from cattle fed on grass rather than grain.","The vast majority of retail grocery outlets 
purchase the bread they sell from small independent bakers but purchase the meat they sell from large wholesale processing operations. ",choice_c
31,LR," Mark: The decongestant drug Zokaz was discontinued 
by its manufacturer because long-term studies revealed that it increased the risk of heart attack. Qualzan, another decongestant, works by essentially the same physiological mechanism as Zokaz. So Qualzan probably also increases the risk of heart attack. Kathy: The decongestive effects of the two drugs do stem 
from the same physiological mechanism. But since they are different chemically, the two drugs probably have different side effects. ",Which one of the following is a technique of reasoning used in Kathy’s response to Mark?, using a product’s overall record of safety as evidence that the product is not linked to a particular health problem,"attempting to discredit an argument by comparing 
it to another obviously flawed argument that is logically parallel",arguing against a conclusion by raising questions about the validity of scientific studies cited in support of that conclusion,attempting to undermine an argument by showing that it is incompatible with a fundamental principle of medicine,"challenging an argument from analogy by focusing on a dissimilarity between the things being compared ",choice_e
32,LR,"CEO: We have been falsely criticized for not being an environmentally responsible corporation. Environmentally responsible corporations are corporations that do all they can to pollute less. Our current production methods pollute significantly less than our old methods did, and there currently are no methods that do not produce any pollution. ",The reasoning in the CEO’s argument is flawed in that it ,"takes for granted that production methods that do 
not produce pollution cannot be developed","fails to take into account the possibility that 
different causes can have similar effects","generalizes too hastily from the inapplicability 
of a specific criticism to the inapplicability of a class of criticisms","takes for granted that because the company has 
attempted to reduce the amount of pollution produced, they must have succeeded","ignores the possibility that there are currently 
production methods that would allow the corporation to produce less pollution than it does now ",choice_e
33,LR,"A recent study showed that people who address problems 
quickly and directly are significantly less likely to have gum disease than are people who react to problems by refusing to think about them. Since stress can have a negative effect on the immune system, the study’s results clearly indicate that some forms of gum disease are caused or aggravated by suppression of the immune system. ",The argument requires the assumption that ,"painful conditions will interfere with a person’s 
ability to address problems quickly and directly","refusing to think about something troubling 
contributes to a person’s level of stress"," people who have highly stressful lives tend to 
address problems quickly and directly","people who tend to address problems quickly and 
directly will invariably seek dental care at the first sign of problems"," the reason some people refuse to think about 
problems is that they find addressing problems to be stressful ",choice_b
34,LR,"A science class stored one selection of various fruits 
at 30 degrees Celsius, a similar selection in similar conditions at 20 degrees, and another similar selection in similar conditions at 10 degrees. Because the fruits stored at 20 degrees stayed fresh longer than those stored at 30 degrees, and those stored at 10 degrees stayed fresh longest, the class concluded that the cooler the temperature at which these varieties of fruits are stored, the longer they will stay fresh.",The class’s reasoning is flawed in that the class,"generalized too readily from the fruits it tested to 
fruits it did not test","ignored the effects of other factors such as 
humidity and sunlight on the rate of spoilage","too readily extrapolated from a narrow range of 
temperatures to the entire range of temperatures","assumed without proof that its thermometer was 
reliable"," neglected to offer any explanation for the results 
it discovered",choice_c
35,LR,"Though Earth’s human population is increasing, it 
currently uses only a relatively small fraction of the supply of fresh water. Thus, claims that water shortages will plague humankind in the near future unless population growth trends change are simply mistaken. ","Which one of the following, if true, most seriously weakens the argument above?","Population growth trends are notoriously hard to 
predict with reasonable accuracy.",The amount of fresh water available to meet the needs of Earth’s population varies significantly from region to region.,"Not all of Earth’s population will adopt water 
conservation methods in the near future."," If Earth’s population continues to increase, it will 
eventually outstrip all available resources.","The percentage of fresh water used for agriculture 
is likely to grow more Quickly than is the percentage used for industry.",choice_b
36,LR,"Consultant: The dramatic improvements in productivity 
achieved during the Industrial Revolution resulted in large part from standardization of processes and procedures coupled with centralization of planning and decision making. Yet, in recent years, many already productive companies have further improved their productivity by giving individual employees greater influence in decision making and in how they do their work. ","Which one of the following, if true, most helps to resolve the apparent paradox in the consultant’s statements?","Most companies still try to improve productivity 
mainly through greater standardization and centralization of decision making.","Increased productivity is not the only benefit of 
giving individual employees greater control over their work; job satisfaction increases as well.",Most of the increases in industrial productivity that have occurred in recent years have been due to the introduction of advanced technology like industrial robots.,The innovations of the Industrial Revolution are only now being applied in those companies in which individual employees have traditionally been entirely in control of how they do their work.,Increases in productivity in highly productive companies depend on management’s broad application of innovative ideas solicited from individual employees about their work.,choice_e
37,LR,"Professor: The most important function of epic poetry is to transmit the values by which a group of people is to live. This transmission is accomplished not by an explicit discussion of those values, but rather by their embodiment in heroic figures, who are presented as role models. Imitating those role models gives meaning and direction to the lives of those who hear the poems. ","If the professor’s statements are true, which one of the following must also be true?",An important function of poetry is to give meaning and direction to the lives of those who hear or read it.,Epic poems accomplish their most important function by presenting heroic figures as role models.,"When values are represented in poetry, they are rarely if ever set forth explicitly.","For many groups of people, heroic figures serve as role models embodying the values by which those people are to live.","Only epic poetry presents heroic figures as role models that, if imitated, give meaning and direction to the lives of those who hear it.",choice_b
38,LR,"Letter to the editor: You say that if the government were to confiscate a portion of the wages of convicted burglars when they reenter the workforce, it would be a form of stealing, hence an abuse of power. Yet under the proposal now being considered, the government would confiscate such wages in order to fund an account to compensate burglary victims. So even if confiscating a portion of burglars’ wages were a form of stealing, it would still be justified. ","Which one of the following principles, if valid, most helps to support the argument in the letter to the editor?",Money stolen from a burglar should be given to that burglar’s victims.,Burglars are obligated to provide compensation to the same individuals they victimized.,The motive prompting an action determines whether or not that action is justified.,A crime is justified only if it is a means of compensating people who deserve compensation. ,Stealing is never justified even if it benefits someone who has been a burglary victim.,choice_c
39,LR,"Some heartburn-medication advertisements imply that unrelieved heartburn is likely to cause esophageal cancer. This is simply false. The fact is that only about 5 percent of people with severe heartburn have a condition called Barrett’s esophagus, in which cells similar to those in the stomach’s lining develop in the lower esophagus. Only these people have an increased risk of developing cancer because of heartburn. ",Which one of the following most accurately expresses the overall conclusion drawn in the argument?,Only those people with Barrett’s esophagus can suffer an increased risk of developing cancer from heartburn.,An increase in the risk of esophageal cancer arises from cells similar to those in the stomach’s lining developing in the lower esophagus.,Unrelieved heartburn is not likely to cause esophageal cancer.,Some heartburn-medication advertisements imply that unrelieved heartburn is likely to cause esophageal cancer.,The dangers touted by heartburn-medication advertisements will affect relatively few of the people who see those advertisements. ,choice_c
40,LR,"We can be sure that at least some halogen lamps are well crafted, because halogen lamps from most major manufacturers are on display at Furniture Labyrinth. Any item on display at Furniture Labyrinth is well crafted.",Which one of the following arguments is most similar in its reasoning to the argument above?,"We can be confident that the temperature will drop abruptly on at least one day this week, for there is a chance of storms most days this week; whenever there are storms, the temperature drops suddenly.","We can be positive that there are at least a few disturbing sonnets, given that Melinda has written several different kinds of sonnets; everything Melinda writes is disturbing.","We can be sure that Gianna will get at least some good mechanical work done to her car, because she can have her car worked on at any of several shops in the city, and every shop is capable of doing good mechanical work.","We can be positive that at least some minnows are healthy, because many different species of minnow can be found in lakes nearby, and every lake nearby is teeming with healthy fish.","We can be confident that the cornmeal used at Matteo’s Trattoria is healthful and organic, since cornmeal is among the ingredients used in preparing meals there; whenever a meal is prepared at Matteo’s Trattoria, only healthful, organic ingredients are used.",choice_b
41,LR,"Psychologists have found that the implementation of policies allowing work schedules to be tailored to individuals’ needs does not typically increase managers’ job satisfaction or their efficiency—although this may be because most managers already have the autonomy to adjust their own schedules. But these flexible-schedule policies do increase job satisfaction, productivity, and attendance among nonmanagerial employees. The benefits dissipate somewhat over time, however, and they are reduced even further if schedules are too elastic. ",Which one of the following statements is most supported by the information above?,Implementing flexible schedules would be an effective means of increasing the job satisfaction and efficiency of managers who do not already have scheduling autonomy.,Flexible-schedule policies should be expected to improve the morale of some individual employees but not the overall morale of a company’s workforce.,Flexible schedules should be expected to substantially improve a company’s productivity and employee satisfaction in the long run.,There is little correlation between managers’ job satisfaction and their ability to set their own work schedules.,The typical benefits of flexible-schedule policies cannot be reliably inferred from observations of the effects of such policies on managers.,choice_e
42,LR,"Viewers surveyed immediately after the televised political debate last year between Lopez and Tanner tended to think that Lopez had made the better arguments, but the survey respondents who reported that Lopez’s arguments were better may have been biased in favor of Lopez. After all, Lopez eventually did win the election. ","Which one of the following, if true, most seriously undermines the argument?",Most people who voted in the election that Lopez won did not watch the debate.,Most people in the live audience watching the debate who were surveyed immediately afterward said that they thought that Tanner was more persuasive in the debate than was Lopez.,The people who watched the televised debate were more likely to vote for Tanner than were the people who did not watch the debate.,Most of the viewers surveyed immediately prior to the debate said that they would probably vote for Tanner.,Lopez won the election over Tanner by a very narrow margin.,choice_d
